Invoice,InvoiceDate,Customer ID,Country
554065,2025-05-22T10:39:00,18287,United Kingdom
570715,2025-10-12T10:23:00,18287,United Kingdom
573167,2025-10-28T09:29:00,18287,United Kingdom
540350,2025-01-06T14:14:00,18283,United Kingdom
541854,2025-01-23T14:58:00,18283,United Kingdom
545079,2025-02-28T10:30:00,18283,United Kingdom
550957,2025-04-21T16:37:00,18283,United Kingdom
554157,2025-05-23T11:33:00,18283,United Kingdom
556731,2025-06-14T11:41:00,18283,United Kingdom
557956,2025-06-23T19:20:00,18283,United Kingdom
560025,2025-07-14T13:00:00,18283,United Kingdom
560032,2025-07-14T13:20:00,18283,United Kingdom
565579,2025-09-05T12:35:00,18283,United Kingdom
573093,2025-10-27T14:38:00,18283,United Kingdom
